window_id,train_start,train_end,test_start,test_end,sharpe,ann_return,ann_vol,max_drawdown,hist_var_95,hist_es_95,turnover,w_AAPL,w_ABT,w_BAC,w_CVX,w_GS,w_INTC,w_JNJ,w_JPM,w_KO,w_MCD,w_MSFT,w_PFE,w_PG,w_WMT,w_XOM
10,2007-07-09,2010-07-07,2010-07-08,2011-07-06,2.087326821759854,0.26402434581326983,0.11690758880508909,-0.056181926353161236,0.011305774224387975,0.015622216573879742,0.19984350990480196,0.21614146033905968,7.719519468096792e-17,0.0,0.0,3.9898639947466563e-17,0.0,0.13345686745666246,1.1275702593849246e-17,0.0,0.6504016722042782,0.0,0.0,0.0,0.0,0.0
11,2007-10-05,2010-10-05,2010-10-06,2011-10-04,0.8248663791761995,0.13522007579178386,0.13968332167176056,-0.08666689294897871,0.015010469786495654,0.021480295080120924,0.5270886472032075,0.15976337525270692,0.0,0.0,1.2685165418080402e-17,2.2551405187698492e-17,0.0,0.0,1.9949319973733282e-17,3.0249240612345574e-17,0.5766923011456898,0.0,0.0,3.0357660829594124e-18,0.2635443236016037,0.0
12,2008-01-07,2011-01-04,2011-01-05,2012-01-04,1.4175309299394807,0.23433796950790736,0.15120514477561034,-0.09000643878359482,0.014382451283723126,0.02240210843534749,0.21999235194552144,0.22420721511147695,0.0,0.0,2.6020852139652106e-17,0.0,6.92534137675116e-17,6.852157730108388e-17,0.0,2.42861286636753e-17,0.4666961251729291,6.982261990806649e-17,0.0,0.0,0.309096659715594,4.380176776841438e-17
13,2008-04-08,2011-04-05,2011-04-06,2012-04-04,2.155686120904292,0.3756267532592167,0.16497149087540347,-0.08730597015058537,0.015359129639618042,0.023129479284666517,0.6181933194311879,0.3255455303677626,1.7564075194265172e-16,0.0,0.0,5.659535340374333e-17,0.0,4.138941793463413e-17,5.438459741140961e-17,0.0331887544796407,0.6412657151525963,0.0,0.0,9.75781955236954e-18,2.247009002476208e-16,0.0
14,2008-07-08,2011-07-06,2011-07-07,2012-07-05,1.003286364740423,0.184567460067189,0.16402840289157153,-0.0923312377175501,0.017083717006340624,0.02443737292222252,0.46060039672719216,0.18920825579494507,0.0,0.0,1.9027748127120603e-17,0.0,3.0357660829594124e-18,5.4169451042807015e-17,0.0,0.2634889528432366,0.5473027913618183,0.0,2.7755575615628914e-17,0.0,1.214306433183765e-17,3.469446951953614e-17
15,2008-10-06,2011-10-04,2011-10-05,2012-10-03,2.0857873072613766,0.5361960154713725,0.24748257583177224,-0.16525276557928678,0.022617660436955386,0.030676487022873015,1.4010562490363934,0.8897363803131416,2.0816681711721685e-17,7.37257477290143e-17,0.0,2.2551405187698492e-17,1.734723475976807e-18,4.9439619065339e-17,2.7538735181131813e-17,6.765421556309548e-17,0.11026361968685824,0.0,0.0,0.0,0.0,0.0
16,2009-01-06,2012-01-04,2012-01-05,2013-01-07,0.7650331110865112,0.24562974965555254,0.29492808399229337,-0.2820233316582023,0.029122929856798353,0.03822063802946883,0.2205272393737169,1.0,0.0,1.496198998029996e-17,1.6588293239028218e-17,3.165870343657673e-17,2.970713952610282e-17,1.7997756063259374e-17,2.6020852139652106e-17,0.0,0.0,0.0,0.0,0.0,0.0,1.7780915628762273e-17
17,2009-04-07,2012-04-04,2012-04-05,2013-04-09,-1.1798303609032634,-0.36525704868170106,0.3265359677369413,-0.4152819996341087,0.03205399235924336,0.04661523638163293,1.9423481920077812e-16,1.0,0.0,0.0,5.2583805365546965e-18,3.371868756429919e-17,0.0,0.0,1.870248747537495e-17,9.307875650788056e-17,0.0,0.0,0.0,0.0,0.0,0.0
18,2009-07-08,2012-07-05,2012-07-06,2013-07-09,-1.1795118906101345,-0.3462762313196086,0.31053203805467205,-0.4593881587697925,0.031781515577553814,0.047665145653737695,8.401347109318613e-16,0.9999999999999997,0.0,1.7753810574450135e-16,0.0,1.0386656812411132e-16,0.0,5.353248226647178e-18,5.106592232406726e-17,1.222980050563649e-16,1.1964170973377541e-16,2.3201926491189795e-17,0.0,0.0,1.0137290312739466e-17,3.4206578541917665e-17
19,2009-10-06,2012-10-03,2012-10-04,2013-10-07,-0.9762343291337311,-0.29608997315099905,0.32378493943763154,-0.43006922891632016,0.03217049952920433,0.04859495922440071,1.0181064975453569e-15,0.9999999999999999,0.0,1.734723475976807e-18,1.0234868508263162e-16,1.700029006457271e-16,1.463672932855431e-17,1.1058862159352145e-17,5.927875378064495e-17,0.0,0.0,4.5102810375396984e-17,5.204170427930421e-18,3.469446951953614e-18,1.2663481374630692e-16,0.0
20,2010-01-06,2013-01-07,2013-01-08,2014-01-07,0.23177396430432257,0.0664581402687161,0.2004458973831788,-0.16117497102602482,0.018381720018114864,0.02938944455342499,0.6379042539113795,0.6810478730443107,0.0,0.0,0.0,0.0,0.0,1.9949319973733282e-17,3.599551212651875e-17,0.0,0.31895212695568986,0.0,0.0,4.163336342344337e-17,3.729655473350135e-17,1.9081958235744878e-17
21,2010-04-08,2013-04-09,2013-04-10,2014-04-08,0.342327681938055,0.06142038285459994,0.12099629984542369,-0.07633253934030587,0.011958253581385624,0.017773557060253735,1.4979432187578887,0.06163138416864974,0.08831953893467961,0.0,0.0,0.0,9.280770596475918e-17,1.0408340855860843e-17,1.0061396160665481e-16,0.16014287878036712,0.18939700645240637,1.6740081543176188e-16,0.5005091916638971,0.0,0.0,4.336808689942018e-18
22,2010-07-08,2013-07-09,2013-07-10,2014-07-09,0.4933493986799769,0.0854619222478377,0.13268876462636472,-0.07579489150959998,0.012285105726609557,0.01848860303602383,0.9989816166722061,6.845212403063348e-17,1.9715215542273077e-17,4.3560937872686725e-17,0.12458051301654802,0.0,2.485816641147636e-17,0.0,1.2478663389415638e-17,0.0,2.250098931862887e-18,0.0,0.7731323869155259,0.0,0.10228710006792602,5.088880360857248e-17
23,2010-10-06,2013-10-07,2013-10-08,2014-10-07,0.5816697022379688,0.09875322917585061,0.13539166448521314,-0.07306853707027863,0.01428170712420088,0.018986228780158015,0.5010958527644181,0.11455583948644464,0.0,0.0,4.5102810375396984e-17,0.0,2.688821387764051e-17,0.13599208689576453,0.0,0.0,2.6020852139652106e-18,1.8214596497756474e-17,0.7494520736177909,2.0464316005663896e-17,0.0,6.938893903907228e-18
