date,AAPL,ABT,BAC,CVX,GS,INTC,JNJ,JPM,KO,MCD,MSFT,PFE,PG,WMT,XOM
2008-09-26,3.0388951075380946e-17,4.8581858609993413e-17,8.692147923775993e-17,4.477872929439098e-17,1.0064509998447857e-16,1.6383617984842982e-18,3.677812279336091e-19,3.314769799554149e-17,1.2574899650597052e-17,0.0,0.0,4.306145781034388e-18,1.9662474636231412e-17,0.9999999999999998,0.0
2008-09-29,1.320260334082767e-17,0.0,0.0,3.970087294362081e-17,0.0,5.394957887316771e-19,6.10044073912237e-17,4.574079725609859e-17,9.492420932951738e-17,0.0,2.5518400414648722e-17,1.094327743200938e-17,6.978788189992081e-17,0.9999999999999999,7.213503367562213e-19
2008-09-30,0.0,0.0,2.0539964313635882e-17,0.0,0.0,0.0,2.8738564531375465e-16,0.0,0.0,1.8041124150158794e-16,0.0,0.0,0.0,1.0,0.0
2008-10-01,0.0,0.0,1.668021759980337e-17,9.946957824105166e-18,0.0,0.0,3.114436352923579e-16,0.0,5.995033472515445e-17,0.020583270496718736,0.0,1.1131573717104767e-17,0.0,0.9794167295032815,0.0
2008-10-02,6.156994704460817e-17,4.507297521163163e-17,1.3134956091245806e-16,1.4249140574792693e-17,4.255055498020994e-17,7.035327227753895e-17,0.0,8.976856391947988e-18,0.0,1.1102230246251565e-16,0.0,1.1595111603886945e-17,8.510548593061908e-17,0.9999999999999998,0.0
2008-10-03,5.696525598314383e-17,0.0,4.675310264713949e-17,0.0,6.377439184213036e-17,0.0,1.4750051644097646e-16,0.0,2.5754960094244855e-17,2.7755575615628914e-17,0.0,0.0,8.424341293695816e-17,0.9999999999999999,0.0
2008-10-06,0.0,0.0,0.0,1.593343675798203e-16,3.273038989743834e-17,0.0,4.3139917518865275e-17,0.0,0.0,2.040757828864617e-16,3.6843824980361776e-17,0.0,0.0,1.0,1.1083414100816634e-16
2008-10-07,0.0,2.7755575615628914e-16,0.0,0.0,4.686790407586082e-17,7.806795772428707e-17,0.0,2.3459177103745525e-17,0.0,0.0,6.872082103785585e-17,6.361865368492e-17,0.0,1.0,0.0
2008-10-08,3.527860697236752e-17,0.0,0.0,1.0674796463570647e-16,1.0092496878256475e-17,4.074538671019069e-17,3.1337345217219215e-17,5.641049099158635e-17,0.0,0.0,8.169469266280826e-17,0.0,0.0,1.0,0.0
2008-10-09,0.0,6.288473948204852e-17,4.0633646397272766e-19,0.0,3.44057417321804e-17,0.0,9.34365937504922e-17,0.0,0.0,0.0,2.7748934232164048e-17,0.0,1.0832739787216961e-16,0.9999999999999999,2.7060504965317898e-17
2008-10-10,0.0,6.740131421684545e-17,0.0,6.552950278467407e-17,0.0,0.0,8.413485897860499e-17,0.0,0.0,0.11066671149267955,1.470153327646644e-17,3.095074704620032e-17,0.0,0.8893332885073206,5.552463777010746e-17
2008-10-13,0.0,0.07876484852896656,0.0,0.0,0.0,7.90696498468988e-18,1.2151918902272694e-16,0.0,0.0,0.04951025967870754,0.0,0.0,1.104859514005353e-16,0.8717248917923259,0.0
2008-10-14,0.0,0.2022967967805961,8.633966293291757e-17,4.403316399338275e-17,3.4467564137206924e-17,0.0,1.344764818542523e-16,4.7408832088232977e-17,4.95672331310479e-17,0.0,0.0,3.1167753520876213e-17,0.0,0.797703203219404,2.0952295775348932e-19
2008-10-15,0.0,0.442429233721136,9.831507407813844e-17,0.0,8.302530696463263e-17,0.0,6.938893903907228e-17,0.0,1.6057901548824262e-17,3.402595425829836e-16,1.0015815844926965e-17,0.0,2.671311681433821e-17,0.5575707662788635,0.0
2008-10-16,1.251847345511252e-16,0.38589424004519995,0.0,5.281088498083108e-17,0.0,5.0542839968094266e-17,0.0,4.30575864654244e-17,2.4347985894672134e-17,0.0,2.7624252943395426e-17,2.081255588865091e-17,0.0,0.6141057599548002,2.884085649223724e-17
2008-10-17,3.128092420004456e-17,0.40399834116311295,0.0,4.358544765608423e-18,0.0,1.6976910194119846e-17,1.3183898417423734e-16,0.0,0.0,0.0,9.313314333990523e-17,9.877542526818585e-17,0.0,0.5960016588368873,2.452655803224908e-18
2008-10-20,0.0,0.4172449630386143,4.656902456580768e-17,1.5527748000135313e-17,0.0,0.0,2.1163626406917047e-16,4.1592723420233034e-17,0.0,2.3949997677532235e-16,0.0,7.765623275305874e-17,0.0,0.5827550369613853,4.329936870409325e-17
2008-10-21,5.4734730538314703e-17,0.3745604334535181,9.281755261660427e-18,0.0,1.9857843978591433e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4330593534985665e-16,0.6254395665464824,0.0
2008-10-22,0.0,0.14735457920695977,0.0,1.1249780442995442e-17,0.0,0.0,1.715783285462273e-16,0.0,0.0,1.354453376230595e-16,0.0,0.0,0.0,0.8526454207930406,7.079113978202307e-18
2008-10-23,0.0,0.1131687246418676,0.0,5.349144497247029e-17,1.3291631158794212e-17,1.5220172332347984e-17,1.1122838278164844e-16,4.036474940384025e-17,0.0,9.066885069305743e-18,1.7541350593012616e-17,0.0,2.1488617178786945e-16,0.886831275358132,4.077562037779539e-17
2008-10-24,3.1660842991223786e-17,0.09812114398694846,0.0,1.3185215162699607e-17,2.4356813932593218e-17,0.0,0.0,0.0,0.0,0.0,1.711306931998193e-17,3.230812684878794e-17,6.130022223576427e-17,0.9018788560130517,0.0
2008-10-27,0.0,0.21406159861992066,2.551190950717703e-17,0.0,7.142755949243878e-18,7.297323974538726e-17,0.0,3.993819320229912e-17,0.0,0.0,3.93704481064712e-17,3.1961958460503336e-17,7.696187680709645e-17,0.7859384013800796,3.827721447188727e-17
2008-10-28,0.0,0.049842928089943034,9.093309371772359e-17,1.442633479326479e-17,8.761052834985861e-17,0.0,0.0,0.0,8.939415904927191e-17,0.0,3.374627350945908e-17,0.0,2.6616709818474378e-17,0.9501570719100572,0.0
