lambda,ann_return,ann_vol,sharpe,AAPL,ABT,BAC,CVX,GS,INTC,JNJ,JPM,KO,MCD,MSFT,PFE,PG,WMT,XOM
0.3,0.16147308388250403,0.17596049885866807,0.8040047892552016,0.2991754296371876,0.06071904739677886,9.75781955236954e-19,2.168404344971009e-18,2.168404344971009e-19,0.0,0.16632460930982107,1.0842021724855044e-19,0.09486120730250024,0.3010922669065375,4.336808689942018e-19,1.0842021724855044e-19,0.03823958719798824,0.039587852249186456,6.268043809681823e-20
0.32,0.16147308388250403,0.17596049885866807,0.8040047892552016,0.2991754296371876,0.06071904739677886,9.75781955236954e-19,2.168404344971009e-18,2.168404344971009e-19,0.0,0.16632460930982107,1.0842021724855044e-19,0.09486120730250024,0.3010922669065375,4.336808689942018e-19,1.0842021724855044e-19,0.03823958719798824,0.039587852249186456,6.268043809681823e-20
0.34,0.16147308388250403,0.17596049885866807,0.8040047892552016,0.2991754296371876,0.06071904739677886,9.75781955236954e-19,2.168404344971009e-18,2.168404344971009e-19,0.0,0.16632460930982107,1.0842021724855044e-19,0.09486120730250024,0.3010922669065375,4.336808689942018e-19,1.0842021724855044e-19,0.03823958719798824,0.039587852249186456,6.268043809681823e-20
0.36,0.1751228759732517,0.18831904019019477,0.8237238026182131,0.3572210396455252,0.06562687654329986,0.0,0.0,4.336808689942018e-19,0.0,0.1444874437504807,4.336808689942018e-19,0.07550723624300971,0.3413929330624031,0.0,0.0,0.009948586289989455,0.005815884465292007,0.0
0.38,0.1751228759732517,0.18831904019019477,0.8237238026182131,0.3572210396455252,0.06562687654329986,0.0,0.0,4.336808689942018e-19,0.0,0.1444874437504807,4.336808689942018e-19,0.07550723624300971,0.3413929330624031,0.0,0.0,0.009948586289989455,0.005815884465292007,0.0
0.4,0.1751228759732517,0.18831904019019477,0.8237238026182131,0.3572210396455252,0.06562687654329986,0.0,0.0,4.336808689942018e-19,0.0,0.1444874437504807,4.336808689942018e-19,0.07550723624300971,0.3413929330624031,0.0,0.0,0.009948586289989455,0.005815884465292007,0.0
0.42,0.18673303265337204,0.19997105155410883,0.8337858468723324,0.40857468998638435,0.062172638718566604,0.0,0.0,0.0,0.0,0.10732931510048595,0.0,0.043036857897006175,0.37888649829755694,0.0,0.0,0.0,0.0,0.0
0.44,0.18673303265337204,0.19997105155410883,0.8337858468723324,0.40857468998638435,0.062172638718566604,0.0,0.0,0.0,0.0,0.10732931510048595,0.0,0.043036857897006175,0.37888649829755694,0.0,0.0,0.0,0.0,0.0
0.46,0.18673303265337204,0.19997105155410883,0.8337858468723324,0.40857468998638435,0.062172638718566604,0.0,0.0,0.0,0.0,0.10732931510048595,0.0,0.043036857897006175,0.37888649829755694,0.0,0.0,0.0,0.0,0.0
0.48,0.18673303265337204,0.19997105155410883,0.8337858468723324,0.40857468998638435,0.062172638718566604,0.0,0.0,0.0,0.0,0.10732931510048595,0.0,0.043036857897006175,0.37888649829755694,0.0,0.0,0.0,0.0,0.0
